Optimal Slope: 38.0 deg.
G(i)	T2m
110.72	5.48
0.0	2.96
0.0	1.1
0.0	0.11
0.0	-0.64
0.0	-1.0
0.0	-0.92
0.0	-1.06
0.0	-0.92
0.0	-0.96
0.0	-0.98
0.0	-0.89
0.0	-0.92
0.0	-0.83
0.0	-0.66
0.0	-0.55
0.0	-0.78
582.28	0.25
754.75	2.74
843.25	4.95
860.85	6.63
776.89	7.71
620.58	8.14
444.94	7.83
71.42	6.29
0.0	3.82
0.0	2.16
0.0	1.31
0.0	0.91
0.0	0.67
0.0	0.71
0.0	0.65
0.0	0.55
0.0	0.25
0.0	-0.05
0.0	-0.41
0.0	-0.57
0.0	-0.96
0.0	-0.89
0.0	-0.88
0.0	-0.9
586.34	0.6
757.32	3.73
843.15	6.28
859.69	8.11
793.38	9.52
653.13	10.11
423.41	9.97
172.9	8.55
0.0	5.92
0.0	3.96
0.0	2.87
0.0	2.15
0.0	1.83
0.0	1.72
0.0	1.43
0.0	1.22
0.0	1.04
0.0	1.01
0.0	0.81
0.0	0.62
0.0	0.39
0.0	0.23
0.0	0.28
0.0	0.47
503.29	1.7
735.05	4.88
853.32	7.52
870.99	9.66
798.35	11.1
421.57	11.73
414.73	11.59
169.99	10.24
0.0	7.49
0.0	5.21
0.0	3.77
0.0	2.82
0.0	2.21
0.0	2.21
0.0	1.86
0.0	1.55
0.0	1.46
0.0	1.3
0.0	1.31
0.0	1.42
0.0	1.53
0.0	1.17
0.0	1.2
0.0	1.23
510.16	2.18
727.4	3.68
840.73	5.45
816.24	7.0
779.05	7.95
637.36	8.17
437.33	7.56
97.06	6.31
0.0	4.43
0.0	3.25
0.0	2.95
0.0	2.76
0.0	2.77
0.0	2.82
0.0	2.76
0.0	2.74
0.0	2.51
0.0	2.32
0.0	2.25
0.0	2.2
0.0	2.07
0.0	2.12
0.0	2.04
0.0	2.12
92.78	2.79
234.9	3.76
449.48	5.32
614.13	6.73
550.97	7.82
423.72	8.21
215.94	8.16
40.12	7.13
0.0	5.43
0.0	4.04
0.0	3.63
0.0	3.2
0.0	3.22
0.0	2.73
0.0	2.52
0.0	2.38
0.0	2.28
0.0	2.34
0.0	2.13
0.0	1.98
0.0	1.94
0.0	1.7
0.0	1.46
8.22	1.38
79.15	2.02
386.4	3.48
689.03	5.06
788.21	6.52
793.15	7.66
645.37	8.27
383.35	8.08
137.71	7.22
0.0	5.25
0.0	3.68
0.0	3.0
0.0	2.47
0.0	2.3
0.0	2.06
0.0	1.87
0.0	1.63
0.0	1.44
0.0	1.4
0.0	1.42
0.0	1.47
0.0	1.35
0.0	1.18
0.0	1.02
15.52	1.14
548.77	1.67
643.74	2.67
770.15	3.7
832.54	4.61
803.83	5.33
633.72	5.72
435.92	5.75
148.83	5.0
0.0	3.77
0.0	2.76
0.0	2.46
0.0	2.19
0.0	1.94
0.0	1.84
0.0	1.75
0.0	1.52
0.0	1.27
0.0	1.12
0.0	0.71
0.0	0.54
0.0	0.31
0.0	0.09
0.0	0.0
13.7	-0.17
584.56	0.52
784.47	1.51
872.39	2.8
899.05	3.96
833.74	4.87
700.05	5.35
489.44	5.33
157.33	4.61
0.0	2.85
0.0	1.48
0.0	0.73
0.0	0.2
0.0	-0.19
0.0	-0.47
0.0	-0.71
0.0	-0.81
0.0	-0.99
0.0	-1.09
0.0	-1.24
0.0	-1.35
0.0	-1.18
0.0	-1.2
0.0	-1.15
13.7	-1.22
601.95	-0.24
794.87	1.55
888.38	3.19
908.45	4.47
849.56	5.33
709.82	5.76
506.02	5.58
165.24	4.64
0.0	2.43
0.0	0.53
0.0	-0.46
0.0	-1.05
0.0	-1.39
0.0	-1.8
0.0	-1.98
0.0	-2.12
0.0	-2.34
0.0	-2.51
0.0	-2.78
0.0	-3.11
0.0	-3.46
0.0	-3.68
0.0	-3.78
14.61	-3.79
628.84	-2.05
801.83	1.11
891.14	3.84
918.21	5.74
858.91	6.88
713.27	7.38
506.23	7.39
176.82	6.65
0.0	4.51
0.0	1.56
0.0	0.05
0.0	-0.95
0.0	-1.65
0.0	-2.24
0.0	-2.64
0.0	-2.96
0.0	-3.29
0.0	-3.59
0.0	-3.77
0.0	-3.88
0.0	-3.85
0.0	-3.78
0.0	-3.76
15.52	-3.7
598.65	-2.0
807.45	0.91
910.21	3.48
931.13	5.25
871.23	6.4
729.71	6.89
516.4	6.71
181.73	5.48
0.0	2.72
0.0	0.45
0.0	-0.74
0.0	-1.52
0.0	-1.95
0.0	-2.37
0.0	-2.48
0.0	-2.5
0.0	-2.48
0.0	-2.37
0.0	-2.34
0.0	-2.21
0.0	-1.96
0.0	-1.81
0.0	-1.59
19.17	-1.61
196.93	-0.47
449.77	1.7
322.06	3.81
410.89	5.05
205.73	5.57
250.88	5.87
248.52	5.72
54.13	4.62
0.0	3.27
0.0	2.29
0.0	1.74
0.0	1.4
0.0	1.19
0.0	0.98
0.0	0.87
0.0	0.88
0.0	0.93
0.0	1.05
0.0	1.16
0.0	1.28
0.0	1.41
0.0	1.49
0.0	1.64
3.65	1.62
134.12	2.22
622.61	3.77
606.48	5.17
708.89	6.84
733.36	8.41
646.29	9.21
236.34	9.18
138.89	8.44
0.0	6.68
0.0	4.76
0.0	3.59
0.0	2.67
0.0	1.85
0.0	1.17
0.0	0.55
0.0	0.03
0.0	-0.56
0.0	-1.02
0.0	-0.79
0.0	0.49
0.0	1.76
0.0	2.53
0.0	2.54
8.22	2.3
53.87	2.62
158.95	4.16
314.18	5.08
464.35	6.09
784.87	7.14
718.51	7.92
505.76	8.14
55.8	7.66
0.0	6.5
0.0	4.54
0.0	3.09
0.0	2.17
0.0	1.42
0.0	1.53
0.0	1.09
0.0	0.43
0.0	-0.18
0.0	-0.73
0.0	-1.15
0.0	-1.48
0.0	-1.69
0.0	-1.8
0.0	-1.89
22.83	-1.82
205.77	-0.25
532.71	2.55
745.24	4.52
689.58	5.89
568.61	6.89
308.13	7.33
294.07	7.46
103.48	7.02
0.0	5.76
0.0	3.72
0.0	2.69
0.0	1.76
0.0	1.0
0.0	0.25
0.0	-0.15
0.0	-0.47
0.0	-0.76
0.0	-1.13
0.0	-1.41
0.0	-1.37
0.0	-1.91
0.0	-2.61
0.0	-2.88
25.56	-2.97
47.48	-0.73
94.95	2.2
406.27	4.17
280.25	5.81
167.77	6.77
148.34	7.41
244.95	7.6
61.58	7.28
0.0	6.32
0.0	4.95
0.0	4.14
0.0	3.59
0.0	2.67
0.0	1.64
0.0	0.88
0.0	1.48
0.0	1.4
0.0	0.42
0.0	0.56
0.0	0.5
0.0	0.44
0.0	0.32
0.0	0.07
23.74	-0.25
22.83	-0.35
43.82	0.37
99.52	0.55
137.87	1.1
185.03	1.35
336.0	1.71
324.95	2.69
124.0	2.55
0.0	1.88
0.0	0.59
0.0	0.1
0.0	-2.46
0.0	-2.95
0.0	-3.32
0.0	-3.47
0.0	-3.58
0.0	-3.71
0.0	-3.72
0.0	-3.76
0.0	-3.79
0.0	-3.76
0.0	-3.87
0.0	-3.83
25.56	-3.55
496.98	-1.84
745.94	0.17
401.51	2.08
358.49	3.57
477.92	4.51
247.8	4.72
90.39	4.28
196.14	3.49
0.0	2.14
0.0	1.13
0.0	0.35
0.0	-0.15
0.0	-0.36
0.0	-0.49
0.0	-0.98
0.0	-1.28
0.0	-1.84
0.0	-2.05
0.0	-2.21
0.0	-2.14
0.0	-2.3
0.0	-2.38
0.0	-2.46
14.61	-2.55
18.26	-1.39
122.66	0.89
152.9	2.05
93.13	2.95
112.3	3.4
93.13	3.18
106.41	3.02
45.65	2.62
0.91	1.43
0.0	0.46
0.0	0.17
0.0	-0.08
0.0	-0.57
0.0	-1.28
0.0	-1.89
0.0	-2.68
0.0	-3.24
0.0	-3.7
0.0	-3.9
0.0	-4.02
0.0	-4.09
0.0	-4.06
0.0	-3.9
64.28	-3.24
98.95	-2.02
378.06	-0.62
519.89	0.66
736.15	1.72
582.63	2.46
455.66	2.77
286.1	2.75
202.5	2.43
0.91	1.53
0.0	0.38
0.0	-0.32
0.0	-0.69
0.0	-1.05
0.0	-1.78
0.0	-2.05
0.0	-2.2
0.0	-2.23
0.0	-2.32
0.0	-2.33
0.0	-2.61
0.0	-2.82
0.0	-3.1
0.0	-3.27
37.12	-3.2
163.96	-2.6
0.0	-2.3
195.13	-1.57
145.17	-0.87
200.89	-0.57
95.87	-0.62
53.87	-0.97
49.3	-1.55
1.83	-2.08
0.0	-2.66
0.0	-3.04
0.0	-3.36
0.0	-3.64
0.0	-4.14
0.0	-4.3
0.0	-4.48
0.0	-4.7
0.0	-4.87
0.0	-5.09
0.0	-5.29
0.0	-5.48
0.0	-5.57
0.0	-5.68
