Optimal Slope: 38.0 deg.
G(i)	T2m
249.33	14.13
122.82	13.93
10.96	13.38
0.0	12.25
0.0	10.27
0.0	9.14
0.0	8.89
0.0	7.76
0.0	7.19
0.0	6.67
0.0	6.55
0.0	6.76
0.0	7.04
0.0	7.12
0.0	6.95
0.0	6.78
14.61	6.19
193.66	7.4
343.1	9.69
624.22	12.82
504.8	15.04
406.17	16.57
768.4	17.66
215.83	18.1
143.9	17.66
119.54	16.77
33.78	15.88
0.0	14.14
0.0	13.38
0.0	12.77
0.0	12.17
0.0	12.51
0.0	12.17
0.0	11.65
0.0	11.25
0.0	11.01
0.0	11.14
0.0	11.53
0.0	11.54
0.0	11.02
6.39	10.32
17.35	10.35
640.5	12.81
760.98	14.33
289.4	16.68
567.4	18.09
228.44	18.67
236.75	18.22
67.56	17.62
43.82	16.93
76.58	15.42
0.0	13.54
0.0	11.86
0.0	11.24
0.0	10.64
0.0	10.14
0.0	9.88
0.0	9.72
0.0	9.57
0.0	8.82
0.0	7.31
0.0	5.8
0.0	4.95
0.0	4.33
4.57	3.22
18.26	2.13
37.43	1.91
102.26	1.81
113.21	2.44
126.0	3.24
139.69	3.87
118.69	4.26
96.78	4.48
62.09	4.44
44.74	4.32
0.0	3.96
0.0	3.47
0.0	3.17
0.0	2.84
0.0	1.98
0.0	1.78
0.0	1.56
0.0	1.12
0.0	0.81
0.0	0.64
0.0	0.66
0.0	0.64
0.0	0.71
7.3	0.88
188.01	1.52
171.62	2.68
125.08	4.89
379.23	6.43
384.09	7.37
708.78	8.05
610.13	8.29
435.65	8.19
165.41	8.22
150.38	7.89
0.0	7.19
0.0	6.47
0.0	5.98
0.0	5.38
0.0	4.93
0.0	4.63
0.0	4.27
0.0	3.9
0.0	3.6
0.0	3.4
0.0	3.27
0.0	3.06
0.0	2.68
196.04	2.46
345.99	3.28
674.02	5.18
664.93	7.27
769.34	10.0
984.2	12.18
952.3	13.64
808.22	14.37
569.35	14.51
284.85	14.16
111.78	13.27
0.0	11.52
0.0	9.75
0.0	8.6
0.0	7.73
0.0	7.02
0.0	6.62
0.0	6.24
0.0	5.83
0.0	5.47
0.0	5.11
0.0	4.86
0.0	4.65
0.0	4.48
32.32	4.24
261.49	6.71
439.18	10.48
686.93	12.14
814.97	14.22
944.78	15.59
896.96	16.48
808.48	16.9
570.9	16.96
298.09	16.6
108.88	15.94
0.0	14.55
0.0	12.97
0.0	11.31
0.0	9.86
0.0	8.89
0.0	8.13
0.0	7.82
0.0	7.67
0.0	7.75
0.0	7.86
0.0	7.95
0.0	7.98
0.0	8.27
6.39	8.51
20.09	8.98
54.78	9.77
103.17	9.91
291.58	10.92
393.76	11.65
275.85	12.38
249.26	13.29
305.15	13.91
207.09	13.91
125.02	13.42
0.0	12.44
0.0	11.01
0.0	10.1
0.0	9.5
0.0	8.7
0.0	8.21
0.0	7.99
0.0	7.66
0.0	7.47
0.0	7.61
0.0	7.87
0.0	8.05
0.0	8.12
6.39	8.18
45.65	8.52
91.3	9.15
154.3	10.09
246.0	10.84
265.34	11.59
278.46	11.93
230.55	12.17
168.51	12.03
94.04	11.92
28.3	11.61
0.85	11.06
0.0	10.57
0.0	10.16
0.0	9.8
0.0	9.14
0.0	8.81
0.0	8.35
0.0	8.01
0.0	7.64
0.0	7.61
0.0	7.62
0.0	7.78
0.0	7.95
7.3	8.19
40.17	8.83
180.6	9.56
373.31	9.97
233.35	11.22
276.83	12.69
366.33	13.49
234.13	13.56
181.75	13.61
30.13	13.93
41.09	13.62
0.85	13.09
0.0	12.37
0.0	11.72
0.0	11.31
0.0	10.75
0.0	10.55
0.0	10.07
0.0	9.34
0.0	8.43
0.0	7.69
0.0	6.91
0.0	6.28
0.0	5.78
10.04	5.84
42.0	7.55
508.58	9.14
693.75	10.62
934.19	11.89
963.34	13.01
856.95	14.19
496.82	14.75
188.56	15.06
91.3	14.75
42.91	14.17
0.85	13.08
0.0	12.1
0.0	11.39
0.0	10.79
0.0	10.19
0.0	9.85
0.0	9.56
0.0	9.22
0.0	8.87
0.0	8.51
0.0	8.12
0.0	7.84
0.0	7.65
8.22	7.56
55.69	7.65
79.43	7.87
0.0	8.21
0.0	8.86
426.96	9.65
277.38	10.1
273.58	10.36
212.31	10.46
191.1	10.66
129.74	10.46
1.7	10.09
0.0	9.58
0.0	9.19
0.0	8.87
0.0	8.45
0.0	8.39
0.0	8.3
0.0	8.24
0.0	8.12
0.0	8.04
0.0	7.79
0.0	7.7
0.0	7.59
10.04	7.67
398.59	8.36
674.45	9.37
0.0	10.74
317.42	11.52
478.47	12.25
550.55	12.94
205.57	13.19
325.16	13.15
235.04	13.1
69.35	12.95
5.97	12.29
0.0	11.03
0.0	10.26
0.0	10.0
0.0	9.54
0.0	9.3
0.0	9.07
0.0	8.81
0.0	8.32
0.0	7.69
0.0	7.26
0.0	6.96
0.0	6.62
10.96	6.98
58.43	9.02
196.59	11.23
356.97	13.03
447.65	14.6
515.08	15.85
686.11	16.8
345.48	17.48
530.67	17.6
253.47	17.66
148.08	16.97
7.67	15.54
0.0	14.03
0.0	13.14
0.0	12.61
0.0	11.15
0.0	10.45
0.0	9.98
0.0	9.34
0.0	8.41
0.0	7.79
0.0	7.89
0.0	7.99
0.0	7.83
9.13	7.71
23.74	7.94
79.43	8.75
144.26	8.77
414.92	9.5
388.74	11.09
385.28	12.3
282.73	13.07
140.6	13.63
369.5	13.54
139.52	13.24
5.97	12.64
0.0	11.96
0.0	11.49
0.0	10.83
0.0	9.0
0.0	8.71
0.0	7.43
0.0	5.3
0.0	4.63
0.0	4.18
0.0	4.21
0.0	3.2
0.0	2.52
266.79	3.34
528.09	7.15
752.35	10.38
871.36	12.92
963.83	14.09
593.46	14.97
479.53	15.54
232.63	15.63
490.32	15.54
303.58	15.43
107.48	15.2
8.52	14.28
0.0	12.86
0.0	11.85
0.0	11.13
0.0	10.1
0.0	9.41
0.0	9.26
0.0	8.73
0.0	8.46
0.0	8.36
0.0	8.22
0.0	7.97
0.0	7.87
10.04	7.95
24.65	8.51
54.78	9.65
84.91	10.66
103.17	11.9
190.82	13.04
741.05	13.91
717.93	14.14
203.64	14.75
410.72	14.8
164.34	14.51
4.26	13.48
0.0	11.92
0.0	10.36
0.0	9.26
0.0	8.07
0.0	7.92
0.0	7.66
0.0	7.24
0.0	6.91
0.0	6.5
0.0	5.9
0.0	5.3
0.0	5.05
10.96	5.66
25.56	8.31
48.39	10.42
75.78	11.14
155.21	11.57
447.49	12.08
882.91	12.98
377.16	14.0
542.64	14.06
417.15	13.57
169.83	12.63
8.52	11.45
0.0	10.12
0.0	9.02
0.0	8.23
0.0	7.14
0.0	5.16
0.0	4.41
0.0	4.52
0.0	4.34
0.0	4.64
0.0	4.63
0.0	4.92
0.0	5.32
50.17	6.45
498.66	8.79
701.74	11.08
727.12	12.86
933.72	14.63
672.36	16.22
711.4	17.52
707.13	18.4
650.35	18.81
413.5	18.63
170.28	17.95
2.56	16.54
0.0	14.81
0.0	13.2
0.0	11.89
0.0	11.07
0.0	10.36
0.0	9.64
0.0	9.09
0.0	8.48
0.0	7.93
0.0	7.53
0.0	7.91
0.0	6.63
10.96	7.2
95.87	8.7
56.61	8.9
94.04	8.67
115.95	8.95
115.95	9.37
125.08	9.47
110.48	9.16
120.52	8.87
63.0	8.42
51.13	7.77
2.56	6.83
0.0	5.49
0.0	3.92
0.0	2.41
0.0	1.89
0.0	1.39
0.0	1.2
0.0	1.07
0.0	0.94
0.0	0.85
0.0	0.81
0.0	0.75
0.0	0.63
30.13	0.68
145.4	0.89
352.77	1.79
496.16	3.28
736.07	4.32
846.77	5.46
688.72	6.21
649.61	6.56
519.24	6.95
352.03	6.76
183.0	6.1
20.45	5.08
0.0	3.74
0.0	2.76
0.0	1.96
0.0	1.14
0.0	0.61
0.0	0.18
0.0	-0.15
0.0	-0.45
0.0	-0.69
0.0	-0.88
0.0	-1.06
0.0	-1.21
309.36	-0.45
373.79	1.77
795.4	3.9
990.48	5.66
1047.97	6.84
1090.31	7.93
1022.09	8.46
876.31	8.61
686.23	8.48
418.32	8.42
182.4	7.83
21.31	6.82
0.0	5.18
0.0	3.97
0.0	2.35
0.0	1.29
0.0	0.48
0.0	1.09
0.0	-0.12
0.0	-1.8
0.0	-2.12
0.0	-2.14
0.0	-2.2
0.0	-2.24
278.72	-1.03
559.7	3.1
783.26	5.79
954.69	7.58
1042.75	9.26
1087.26	10.61
1019.46	11.57
871.98	12.19
678.14	12.47
424.38	12.59
183.46	12.34
23.01	11.53
0.0	9.41
0.0	7.23
0.0	5.71
0.0	4.83
0.0	4.25
0.0	3.77
0.0	3.23
0.0	2.76
0.0	2.34
0.0	2.02
0.0	1.76
0.0	1.63
269.4	2.69
526.0	5.69
770.45	8.61
939.45	10.73
1025.45	12.23
1062.97	13.39
1008.55	14.29
853.3	14.85
668.81	15.15
412.83	15.17
182.53	14.73
24.72	13.18
0.0	10.95
0.0	9.8
0.0	8.7
0.0	8.7
0.0	8.33
0.0	7.51
0.0	6.81
0.0	6.31
0.0	5.76
0.0	5.45
0.0	5.47
0.0	5.36
12.78	5.59
41.09	9.6
146.08	13.11
443.97	14.46
306.06	13.97
184.43	13.68
139.69	13.8
100.43	13.22
82.17	12.7
39.26	13.03
76.51	12.8
4.26	12.3
0.0	11.14
0.0	9.98
0.0	9.36
0.0	9.43
0.0	9.51
0.0	9.39
0.0	9.03
0.0	8.39
0.0	7.47
0.0	6.95
0.0	6.18
0.0	5.45
182.3	6.07
503.46	8.71
727.98	11.72
865.86	13.88
997.89	15.64
1042.37	17.07
970.34	18.23
841.25	19.06
633.4	19.49
394.47	19.49
165.02	18.92
27.27	17.31
0.0	15.59
0.0	14.66
0.0	13.91
0.0	13.56
0.0	13.05
0.0	12.38
0.0	11.64
0.0	11.13
0.0	10.87
0.0	10.7
0.0	10.37
0.0	9.97
190.92	10.23
275.31	11.87
306.81	14.16
399.92	16.24
227.03	17.77
147.91	18.46
216.39	18.5
366.22	18.66
94.04	18.46
93.13	17.77
30.13	16.86
16.19	15.79
0.0	14.57
0.0	13.26
0.0	13.1
0.0	12.18
0.0	11.98
0.0	11.65
0.0	11.12
0.0	10.87
0.0	10.38
0.0	8.96
0.0	9.07
0.0	8.91
14.61	9.3
42.0	9.73
158.67	10.01
414.16	10.29
739.23	10.95
298.12	11.86
105.91	12.81
96.78	13.15
74.87	13.4
81.26	13.33
87.0	12.81
9.37	12.05
0.0	11.14
0.0	10.52
0.0	10.06
0.0	9.4
0.0	8.82
0.0	8.33
0.0	7.8
0.0	7.42
0.0	7.06
0.0	6.82
0.0	6.68
1.83	6.62
14.61	7.42
74.87	8.3
84.0	8.76
241.64	10.6
445.83	11.87
270.58	12.83
347.05	13.28
217.68	13.64
362.94	13.79
417.06	13.98
186.55	13.84
29.83	13.08
0.0	11.58
0.0	10.32
0.0	9.17
0.0	8.73
0.0	7.64
0.0	8.12
0.0	8.23
0.0	7.86
0.0	6.14
0.0	5.83
0.0	6.14
1.83	6.13
15.52	7.09
116.73	8.68
187.49	10.07
286.83	11.65
251.01	13.48
438.04	14.67
481.38	15.26
471.36	15.34
426.86	13.78
250.32	13.01
97.41	12.01
15.34	11.18
0.0	10.57
0.0	10.14
0.0	9.95
0.0	9.43
0.0	9.15
0.0	8.87
0.0	8.63
0.0	8.36
0.0	8.15
0.0	7.77
0.0	7.52
2.74	7.25
20.09	7.42
104.08	8.26
509.52	9.13
833.34	10.44
497.13	11.08
618.16	11.89
619.13	12.53
571.02	13.02
338.4	13.33
342.76	13.44
45.65	13.42
35.79	12.69
0.0	11.12
0.0	9.61
0.0	8.72
0.0	8.0
0.0	7.48
0.0	7.08
0.0	6.7
0.0	6.44
0.0	6.25
0.0	6.13
0.0	6.1
2.74	6.11
16.43	7.41
357.43	9.85
688.73	12.05
898.94	13.98
1021.5	14.99
891.01	15.88
785.61	16.77
599.62	17.01
621.93	17.04
400.6	17.11
156.4	16.47
34.94	15.53
0.0	14.65
0.0	14.2
0.0	14.0
0.0	13.6
0.0	13.12
0.0	12.39
0.0	11.63
0.0	11.07
0.0	10.58
0.0	10.15
0.0	9.61
2.74	9.32
16.43	9.67
97.69	10.81
223.55	12.14
538.07	12.87
528.27	13.62
563.05	14.02
897.4	14.78
368.86	15.35
220.83	15.82
146.2	15.88
73.04	15.65
5.11	15.12
0.0	14.28
0.0	13.51
0.0	12.84
0.0	12.87
0.0	12.12
0.0	11.36
0.0	10.51
0.0	9.9
0.0	9.1
0.0	8.57
0.0	7.96
3.65	7.63
34.69	8.75
93.13	11.29
133.3	13.22
236.16	14.81
199.04	15.89
148.82	16.41
229.58	17.0
210.33	16.79
187.62	16.6
40.17	16.13
27.39	15.79
5.97	15.03
0.0	13.95
0.0	13.22
0.0	12.57
0.0	11.87
0.0	11.54
0.0	11.2
0.0	11.05
0.0	10.9
0.0	10.81
0.0	10.61
0.0	10.04
3.65	9.22
17.35	8.53
34.69	8.18
130.56	8.05
161.6	8.47
297.21	9.45
309.47	10.46
313.86	11.42
145.17	11.9
157.95	12.11
69.39	12.22
85.54	12.38
20.45	11.88
0.0	10.82
0.0	9.84
0.0	9.14
0.0	8.73
0.0	8.59
0.0	8.59
0.0	8.48
0.0	8.29
0.0	8.2
0.0	8.12
0.0	8.16
4.57	8.13
251.1	8.9
305.18	10.05
399.68	11.52
492.33	13.06
612.28	13.53
457.95	13.71
322.88	13.31
730.4	13.22
500.62	13.61
379.06	13.48
175.94	13.09
29.83	12.54
0.0	12.1
0.0	11.77
0.0	11.62
0.0	11.12
0.0	11.19
0.0	11.29
0.0	11.29
0.0	11.1
0.0	10.81
0.0	10.59
0.0	10.2
4.57	9.82
18.26	10.01
57.52	10.76
215.62	11.19
704.64	12.1
773.77	13.37
823.46	13.79
875.54	14.13
762.7	13.5
604.95	12.87
394.63	12.23
189.44	11.68
43.46	10.84
0.0	9.6
0.0	8.64
0.0	7.76
0.0	5.99
0.0	5.39
0.0	4.97
0.0	4.79
0.0	4.52
0.0	4.38
0.0	4.22
0.0	4.05
4.57	3.95
177.91	4.76
494.76	6.19
709.73	7.91
890.43	9.11
921.85	10.45
901.35	11.52
967.44	12.34
823.11	12.9
648.33	13.14
422.73	12.86
192.97	12.19
45.17	11.14
0.0	9.77
0.0	8.83
0.0	8.22
0.0	7.02
0.0	6.52
0.0	6.03
0.0	5.45
0.0	4.93
0.0	4.52
0.0	4.1
0.0	3.79
10.96	3.57
302.21	4.11
525.5	5.51
762.2	7.53
940.65	9.6
1004.97	11.36
1023.86	12.74
951.2	13.79
831.31	14.37
402.66	14.52
403.74	14.25
128.44	13.73
14.49	12.82
0.0	11.8
0.0	10.94
0.0	10.33
0.0	8.98
0.0	8.43
0.0	7.94
0.0	7.37
0.0	6.77
0.0	6.22
0.0	5.81
0.0	5.48
5.48	5.38
190.42	6.54
291.55	8.79
653.4	11.22
622.87	13.03
988.3	14.75
1027.45	16.27
971.98	17.48
811.66	18.11
542.34	18.3
382.33	17.95
50.22	17.41
19.6	16.24
0.0	14.83
0.0	13.69
0.0	12.96
0.0	12.16
0.0	11.51
0.0	10.96
0.0	10.47
0.0	9.88
0.0	9.3
0.0	8.82
0.0	8.42
5.48	8.34
19.17	9.23
53.87	10.63
84.91	12.71
403.81	15.9
886.61	17.27
1009.7	19.04
931.19	20.13
746.79	20.42
657.28	20.13
378.78	20.05
196.64	19.45
45.17	18.29
0.0	16.47
0.0	15.2
0.0	14.5
0.0	13.85
0.0	13.31
0.0	12.81
0.0	12.13
0.0	11.51
0.0	10.81
0.0	10.17
0.0	9.66
6.39	9.07
149.4	10.34
64.82	11.53
55.69	12.68
202.69	15.66
147.91	16.48
121.43	17.12
188.99	17.19
141.52	16.83
78.52	16.24
82.17	15.69
40.17	15.05
15.34	14.62
0.0	13.83
0.0	13.3
0.0	13.01
0.0	11.65
0.0	11.37
0.0	11.41
0.0	11.41
0.0	11.46
0.0	11.16
0.0	10.68
0.0	10.1
6.39	9.58
20.09	9.33
183.4	9.54
121.43	10.01
740.3	11.08
321.92	12.78
459.43	14.11
664.64	15.21
640.58	15.92
508.79	15.69
426.71	15.13
190.2	14.58
51.13	13.78
0.0	12.52
0.0	11.59
0.0	10.92
0.0	9.08
0.0	8.38
0.0	7.69
0.0	7.28
0.0	7.1
0.0	7.44
0.0	7.53
0.0	7.97
6.39	8.35
21.0	9.13
42.91	9.99
113.21	10.82
164.34	10.82
454.78	10.73
631.12	11.73
327.17	12.88
651.76	12.98
552.99	12.94
305.02	13.7
80.35	13.77
22.16	12.95
0.0	11.8
0.0	10.91
0.0	10.25
0.0	8.91
0.0	8.27
0.0	7.75
0.0	6.97
0.0	6.03
0.0	5.45
0.0	5.11
0.0	4.43
76.55	4.26
31.96	7.8
310.14	9.93
610.1	11.35
809.93	12.37
889.61	13.6
757.97	14.55
809.03	15.11
695.05	15.49
438.18	15.9
199.6	15.98
176.72	15.7
15.34	15.19
0.0	14.07
0.0	12.38
0.0	11.2
0.0	10.81
0.0	10.31
0.0	9.76
0.0	9.19
0.0	9.0
0.0	8.96
0.0	8.91
0.0	9.0
7.3	9.46
21.0	10.83
144.78	12.25
189.51	12.87
291.45	14.0
150.65	14.64
135.13	15.26
133.3	15.34
536.13	15.66
185.48	16.0
42.0	16.17
29.22	15.52
38.35	14.67
0.0	13.7
0.0	12.59
0.0	11.77
0.0	11.28
0.0	10.86
0.0	10.52
0.0	10.2
0.0	9.93
0.0	9.55
0.0	8.96
0.0	8.76
15.52	8.65
340.14	9.49
313.41	10.61
724.96	12.14
944.74	13.02
929.36	14.3
839.88	14.68
627.7	15.18
838.83	15.54
664.58	15.71
432.61	15.42
202.41	15.1
52.84	14.41
0.0	13.31
0.0	12.49
0.0	11.86
0.0	10.33
0.0	8.42
0.0	7.09
0.0	6.26
0.0	5.64
0.0	5.12
0.0	4.88
0.0	4.99
78.84	5.64
105.46	9.05
136.04	12.23
356.74	14.19
853.55	15.81
710.59	17.34
899.69	18.68
990.33	19.81
738.97	20.47
394.84	20.83
435.24	20.76
205.7	20.35
52.84	19.08
0.0	17.28
0.0	15.38
0.0	14.4
0.0	14.06
0.0	13.7
0.0	13.47
0.0	13.22
0.0	12.72
0.0	11.97
0.0	11.15
0.0	10.43
8.22	10.22
214.67	11.8
471.77	14.17
368.28	16.55
513.29	18.26
378.41	19.77
1022.45	20.98
966.27	21.92
638.28	22.44
61.17	22.4
369.81	22.06
53.87	20.81
26.42	19.69
0.0	17.96
0.0	16.31
0.0	15.65
0.0	15.17
0.0	14.84
0.0	14.45
0.0	13.91
0.0	13.34
0.0	12.88
0.0	12.6
0.0	12.21
8.22	12.35
22.83	13.23
105.91	14.64
217.43	15.99
282.31	17.76
852.56	19.24
620.6	20.02
948.04	20.46
826.66	20.66
229.89	20.39
303.02	19.92
198.23	18.99
53.69	18.43
0.0	17.64
0.0	15.82
0.0	14.3
0.0	13.35
0.0	13.16
0.0	12.93
0.0	12.54
0.0	12.16
0.0	11.73
0.0	11.26
0.0	10.94
9.13	10.85
87.65	10.93
43.82	11.05
113.21	11.24
137.87	10.94
248.75	11.13
200.86	11.42
149.73	11.52
82.17	11.5
141.52	11.05
80.35	10.68
36.52	10.72
9.37	10.66
0.0	10.63
0.0	10.62
0.0	10.61
0.0	10.31
0.0	10.29
0.0	9.93
0.0	9.72
0.0	9.59
0.0	9.25
0.0	8.81
0.0	8.61
9.13	8.59
23.74	8.65
41.09	8.87
78.52	9.12
165.26	9.83
234.65	10.57
315.85	11.87
144.26	13.03
272.55	13.32
240.91	13.77
193.8	13.74
106.02	13.65
34.94	13.29
0.0	12.65
0.0	11.98
0.0	11.21
0.0	10.33
0.0	9.92
0.0	9.28
0.0	8.43
0.0	8.38
0.0	8.75
0.0	8.38
0.0	6.92
10.04	7.21
24.65	9.4
119.61	10.83
508.4	12.35
435.74	13.29
770.45	14.06
473.6	14.71
597.99	15.34
760.11	15.06
385.26	14.15
259.71	13.3
94.04	12.33
10.23	11.95
0.0	11.35
0.0	10.76
0.0	10.44
0.0	9.64
0.0	9.27
0.0	8.91
0.0	8.72
0.0	8.7
0.0	8.69
0.0	8.29
0.0	8.19
10.04	8.19
129.13	9.48
295.58	10.69
619.52	11.77
0.0	12.64
499.39	12.97
307.71	13.86
249.54	14.45
171.65	14.55
112.3	14.58
140.6	13.87
101.85	13.24
63.92	12.28
0.0	11.56
0.0	10.53
0.0	9.73
0.0	9.58
0.0	9.01
0.0	8.68
0.0	8.25
0.0	7.57
0.0	7.33
0.0	7.31
0.0	7.07
88.21	7.46
79.43	8.62
118.69	9.8
215.45	10.84
508.46	12.26
749.44	13.17
359.38	14.05
474.03	14.63
619.24	15.01
454.79	15.01
86.74	14.89
105.5	14.58
66.47	14.33
0.0	13.49
0.0	12.39
0.0	11.29
0.0	10.44
0.0	9.87
0.0	8.96
0.0	8.27
0.0	7.32
0.0	6.31
0.0	5.7
0.0	5.32
115.79	5.49
371.48	9.3
634.03	12.51
858.35	14.14
1016.63	15.35
1080.82	16.1
1087.13	16.88
1020.38	17.62
879.48	18.11
674.69	18.38
444.31	18.4
205.19	18.07
55.4	17.3
0.0	15.9
0.0	13.62
0.0	11.53
0.0	10.18
0.0	9.07
0.0	8.25
0.0	7.64
0.0	7.19
0.0	6.7
0.0	6.27
0.0	6.07
10.96	6.83
203.38	10.52
400.42	14.28
601.37	16.81
932.07	18.63
1022.0	19.89
1035.13	20.79
996.41	21.35
763.82	21.65
646.95	21.77
366.91	21.67
175.0	21.25
66.47	20.03
0.0	18.19
0.0	16.23
0.0	15.13
0.0	14.12
0.0	13.24
0.0	12.52
0.0	11.99
0.0	11.59
0.0	11.18
0.0	10.66
0.0	10.13
99.09	10.35
340.11	12.62
578.4	15.31
555.9	17.43
954.65	19.32
1038.31	20.71
1045.1	21.65
969.3	22.26
762.08	22.59
391.45	22.64
283.28	22.28
118.32	21.79
68.18	20.72
1.7	19.12
0.0	17.8
0.0	17.06
0.0	16.5
0.0	15.94
0.0	15.59
0.0	15.09
0.0	14.86
0.0	14.71
0.0	14.41
0.0	13.88
11.87	13.81
30.13	14.71
77.61	16.04
97.69	16.91
190.82	17.29
236.47	17.07
362.13	16.06
474.87	16.04
522.26	16.2
353.78	16.36
105.0	16.28
40.17	16.05
25.57	15.66
0.85	15.02
0.0	14.75
0.0	14.55
0.0	14.09
0.0	13.97
0.0	13.81
0.0	13.49
0.0	12.99
0.0	12.56
0.0	12.3
0.0	12.09
11.87	11.93
33.78	11.83
76.69	12.02
166.17	12.24
314.07	12.66
341.49	13.33
271.49	13.3
224.6	13.74
280.53	13.93
262.84	13.69
55.69	13.03
27.39	12.65
43.46	12.16
0.85	11.66
0.0	11.19
0.0	10.9
0.0	10.2
0.0	10.02
0.0	9.68
0.0	9.37
0.0	9.06
0.0	8.78
0.0	8.57
0.0	8.42
11.87	8.39
40.17	8.47
53.87	8.83
190.82	9.55
490.81	9.64
506.65	10.51
334.82	11.23
540.0	11.49
437.09	11.52
230.33	11.22
139.69	11.28
37.43	11.51
36.65	11.41
0.85	11.35
0.0	11.01
0.0	10.99
0.0	10.44
0.0	10.48
0.0	10.44
0.0	10.2
0.0	10.09
0.0	9.97
0.0	9.35
0.0	9.0
12.78	9.27
26.48	10.41
42.0	10.57
126.0	10.74
217.3	10.96
212.73	10.97
256.56	10.84
218.21	10.59
198.12	10.61
130.56	10.55
151.56	10.32
60.26	10.1
28.12	9.9
1.7	9.71
0.0	9.55
0.0	9.44
0.0	8.34
0.0	8.19
0.0	8.09
0.0	7.89
0.0	7.66
0.0	7.49
0.0	7.17
0.0	6.7
12.78	6.74
42.0	7.01
274.56	7.49
391.33	8.36
730.96	9.72
818.01	10.83
736.12	11.76
633.87	12.73
776.6	13.33
572.0	13.76
359.69	13.87
203.25	13.5
77.55	12.82
5.97	11.86
0.0	10.66
0.0	9.52
0.0	7.99
0.0	6.86
0.0	5.93
0.0	5.46
0.0	5.3
0.0	4.67
0.0	3.36
0.0	2.44
12.78	3.63
42.91	7.88
293.8	10.72
593.41	11.99
891.66	12.9
1022.22	14.02
989.58	14.97
944.58	15.68
782.06	16.31
604.64	16.65
383.41	16.67
110.03	16.42
58.8	15.62
4.26	14.03
0.0	12.7
0.0	12.04
0.0	11.75
0.0	11.36
0.0	11.03
0.0	10.79
0.0	10.64
0.0	10.6
0.0	10.59
0.0	10.52
12.78	10.62
31.04	11.33
150.65	12.53
350.68	13.63
315.52	14.21
397.62	14.98
373.3	15.75
477.11	15.45
277.49	15.51
403.97	15.0
268.98	14.77
168.19	14.26
76.7	13.58
4.26	12.72
0.0	11.98
0.0	11.48
0.0	10.34
0.0	10.12
0.0	9.85
0.0	9.48
0.0	9.33
0.0	9.19
0.0	9.09
0.0	9.1
13.7	9.39
30.13	10.08
95.87	10.89
237.97	11.34
473.05	12.23
623.35	12.96
600.26	13.6
584.33	14.73
546.83	15.14
364.95	15.27
209.64	15.39
105.91	15.36
58.8	14.91
5.11	14.32
0.0	12.99
0.0	11.99
0.0	10.88
0.0	10.21
0.0	9.66
0.0	9.38
0.0	9.14
0.0	8.81
0.0	8.59
0.0	8.4
13.7	8.94
211.5	10.95
583.4	13.7
807.03	16.03
968.06	17.31
1045.32	18.29
1034.64	19.1
887.02	19.67
780.62	19.89
511.18	20.02
371.43	20.06
208.86	19.75
59.66	19.04
3.41	17.8
0.0	15.82
0.0	14.25
0.0	13.37
0.0	12.34
0.0	11.71
0.0	11.52
0.0	11.13
0.0	10.89
0.0	10.46
1.7	9.79
91.76	10.04
301.58	13.08
597.13	15.78
791.33	17.79
950.09	18.79
1043.55	19.86
1038.9	20.45
796.72	20.56
793.28	20.63
606.95	20.61
433.62	20.53
130.09	20.14
66.47	19.29
6.82	17.99
0.0	16.43
0.0	14.87
0.0	14.17
0.0	13.23
0.0	12.36
0.0	11.56
0.0	11.0
0.0	10.61
0.0	10.23
1.7	9.48
127.64	9.72
382.65	12.47
626.45	14.32
819.38	15.54
950.21	16.23
929.03	17.06
943.47	17.87
759.46	18.53
660.82	18.93
633.86	18.96
442.35	18.85
218.42	18.49
62.21	17.77
11.93	16.63
0.0	15.51
0.0	14.51
0.0	13.61
0.0	13.06
0.0	12.53
0.0	11.95
0.0	11.39
0.0	11.04
0.0	10.63
1.7	10.25
14.61	10.76
250.14	13.06
531.22	15.59
770.4	17.46
943.93	18.97
1024.36	20.21
1036.95	21.06
964.02	21.44
861.73	21.77
665.42	21.88
440.55	21.63
218.09	20.93
63.92	19.92
17.9	18.48
0.0	17.29
0.0	16.46
0.0	15.91
0.0	15.34
0.0	14.72
0.0	14.12
0.0	13.54
0.0	13.05
0.0	12.64
1.7	12.29
110.04	12.82
260.66	14.65
357.82	17.03
708.34	18.93
746.63	20.24
333.9	21.39
557.58	22.19
889.27	22.75
819.66	23.21
650.33	23.42
419.95	23.31
212.34	22.83
72.44	21.6
19.6	20.07
0.0	19.1
0.0	18.5
0.0	17.92
0.0	17.39
0.0	16.87
0.0	16.33
0.0	15.9
0.0	15.57
0.0	15.27
2.56	14.98
86.88	15.14
150.14	16.15
418.61	17.46
476.25	18.73
844.99	19.69
944.17	20.67
893.02	21.4
886.99	21.97
798.94	22.36
595.36	22.6
313.83	22.73
129.16	22.25
67.33	21.26
19.6	19.95
0.0	18.96
0.0	18.28
0.0	17.34
0.0	16.96
0.0	16.79
0.0	16.55
0.0	16.28
0.0	16.1
0.0	15.62
2.56	15.22
14.61	14.8
37.43	14.77
165.53	15.09
563.47	15.97
824.88	16.4
958.04	17.42
972.62	18.89
954.31	19.73
791.25	20.24
542.87	20.19
306.26	20.03
66.65	19.66
49.43	19.3
20.45	18.82
0.0	18.25
0.0	17.65
0.0	16.58
0.0	15.87
0.0	15.37
0.0	15.14
0.0	14.84
0.0	14.73
